hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,city
Resort Hotel - Chandigarh,0,342,2024,July,30,27,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,3,No Deposit,,Transient,0,0,0,Check-Out,16:40.9,Chandigarh
Resort Hotel - Mumbai,0,737,2024,April,17,28,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,4,No Deposit,,Transient,0,0,0,Check-Out,56:21.5,Mumbai
Resort Hotel - Delhi,0,7,2024,September,37,10,0,1,1,0,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,,Transient,75,0,0,Check-Out,46:25.7,Delhi
Resort Hotel - Kolkata,0,13,2024,August,33,14,0,1,1,0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304,Transient,75,0,0,Check-Out,07:10.1,Kolkata
Resort Hotel - Lucknow,0,14,2024,September,37,14,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,98,0,1,Check-Out,27:32.5,Lucknow
Resort Hotel - Delhi,0,14,2024,October,43,23,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,98,0,1,Check-Out,39:14.0,Delhi
Resort Hotel - Indore,0,0,2024,January,1,7,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,,Transient,107,0,0,Check-Out,46:27.9,Indore
Resort Hotel - Ahmedabad,0,9,2024,August,32,8,0,2,2,0,0,FB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,303,Transient,103,0,1,Check-Out,58:03.3,Ahmedabad
Resort Hotel - Delhi,1,85,2024,August,34,25,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,82,0,1,Canceled,44:41.1,Delhi
Resort Hotel - Pune,1,75,2024,December,51,18,0,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15,Transient,105.5,0,0,Canceled,00:17.6,Pune
Resort Hotel - Chennai,1,23,2024,August,34,24,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,Transient,123,0,0,Canceled,39:41.6,Chennai
Resort Hotel - Chennai,0,35,2024,March,13,27,0,4,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,Transient,145,0,0,Check-Out,01:18.7,Chennai
Resort Hotel - Bhopal,0,68,2024,March,9,2,0,4,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,Transient,97,0,3,Check-Out,36:37.1,Bhopal
Resort Hotel - Lucknow,0,18,2024,June,23,9,0,4,2,1,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,241,Transient,154.77,0,1,Check-Out,36:00.2,Lucknow
Resort Hotel - Hyderabad,0,37,2024,June,24,15,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,Transient,94.71,0,0,Check-Out,44:20.7,Hyderabad
Resort Hotel - Mumbai,0,68,2024,June,26,24,0,4,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,Transient,97,0,3,Check-Out,47:06.0,Mumbai
Resort Hotel - Kochi,0,37,2024,January,3,18,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8,Contract,97.5,0,0,Check-Out,43:35.3,Kochi
Resort Hotel - Chennai,0,12,2024,December,51,17,0,1,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240,Transient,88.2,0,0,Check-Out,06:06.2,Chennai
Resort Hotel - Mumbai,0,0,2024,April,16,17,0,1,2,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,G,0,No Deposit,,Transient,107.42,0,0,Check-Out,07:48.9,Mumbai
Resort Hotel - Delhi,0,7,2024,November,46,11,0,4,2,0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,250,Transient,153,0,1,Check-Out,50:41.1,Delhi
Resort Hotel - Pune,0,37,2024,November,47,23,1,4,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241,Transient,97.29,0,1,Check-Out,43:51.4,Pune
Resort Hotel - Bangalore,0,72,2024,January,2,13,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250,Transient,84.67,0,1,Check-Out,56:56.3,Bangalore
Resort Hotel - Bhopal,0,72,2024,July,27,4,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250,Transient,84.67,0,1,Check-Out,03:52.6,Bhopal
Resort Hotel - Chennai,0,72,2024,March,12,22,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250,Transient,99.67,0,1,Check-Out,39:34.8,Chennai
Resort Hotel - Ahmedabad,0,127,2024,February,8,25,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,115,Contract,94.95,0,1,Check-Out,06:13.1,Ahmedabad
Resort Hotel - Pune,0,78,2024,July,30,24,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,Transient,63.6,1,0,Check-Out,14:25.1,Pune
Resort Hotel - Pune,0,48,2024,December,48,1,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,Contract,79.5,0,0,Check-Out,14:39.7,Pune
Resort Hotel - Chennai,1,60,2024,November,44,3,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,Transient,107,0,2,Canceled,59:13.8,Chennai
Resort Hotel - Kochi,0,77,2024,October,44,30,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,94,0,0,Check-Out,53:28.4,Kochi
Resort Hotel - Chennai,0,99,2024,March,11,14,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,Transient,87.3,1,1,Check-Out,51:48.1,Chennai
Resort Hotel - Kochi,0,118,2024,December,50,11,4,10,1,0,0,BB,,Direct,Direct,0,0,0,A,A,2,No Deposit,,Transient,62,0,2,Check-Out,28:56.5,Kochi
Resort Hotel - Kochi,0,95,2024,December,1,30,4,11,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,241,Transient,63.86,0,0,Check-Out,28:57.4,Kochi
Resort Hotel - Delhi,1,96,2024,January,1,7,2,8,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,Transient,108.3,0,2,Canceled,56:46.0,Delhi
Resort Hotel - Kolkata,0,69,2024,May,19,10,2,4,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,175,Transient,65.5,0,0,Check-Out,51:34.4,Kolkata
Resort Hotel - Hyderabad,1,45,2024,August,32,8,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,Transient,108.8,0,1,Canceled,55:33.6,Hyderabad
Resort Hotel - Mumbai,1,40,2024,April,17,22,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,Transient,108.8,0,1,Canceled,03:59.6,Mumbai
Resort Hotel - Mumbai,0,15,2024,February,8,21,1,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,Transient,98,0,0,Check-Out,39:35.1,Mumbai
Resort Hotel - Chennai,0,36,2024,February,9,28,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,Transient,108.8,0,1,Check-Out,20:36.1,Chennai
Resort Hotel - Jaipur,1,43,2024,January,3,17,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,Transient,108.8,0,0,Canceled,49:45.7,Jaipur
Resort Hotel - Bangalore,0,70,2024,January,3,15,2,3,2,0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,Transient,137,0,1,Check-Out,30:12.2,Bangalore
Resort Hotel - Jaipur,1,45,2024,February,5,3,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,Transient,117.81,0,0,Canceled,29:13.2,Jaipur
Resort Hotel - Pune,0,45,2024,January,4,23,2,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,Contract,79.5,0,0,Check-Out,47:18.0,Pune
Resort Hotel - Kochi,0,16,2024,May,19,10,2,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,,Transient,123,0,0,Check-Out,16:29.5,Kochi
Resort Hotel - Chandigarh,0,70,2024,November,44,1,2,3,2,0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,Transient,137,0,1,Check-Out,30:00.3,Chandigarh
Resort Hotel - Pune,0,107,2024,June,24,14,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,110.7,0,2,Check-Out,23:00.9,Pune
Resort Hotel - Delhi,1,47,2024,July,27,3,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,Transient,153,0,0,Canceled,21:15.6,Delhi
Resort Hotel - Kolkata,0,96,2024,August,32,5,2,5,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,Transient,58.95,0,1,Check-Out,45:04.8,Kolkata
